housing_development,housing_node,subway_node,path_length,path_nodes
BROWN,"(-73.9129017249793, 40.67317791956394)","(-73.91174966018426, 40.67757038402874)",0.007090025427077179,"[(-73.9129017249793, 40.67317791956394), (-73.91279027505118, 40.673171698423666), (-73.91269518420103, 40.67316639022037), (-73.9125883801649, 40.67316042822496), (-73.91168802737364, 40.673110165624195), (-73.91161308432234, 40.672997615610406), (-73.91139189674357, 40.67308966722838), (-73.91122305892796, 40.67316160505513), (-73.91115101811627, 40.673978650250966), (-73.91107588073913, 40.67475706067127), (-73.91100238542877, 40.67554411734753), (-73.91093397393234, 40.67626103661966), (-73.91092600900731, 40.676344445404816), (-73.91091823327714, 40.67641897485801), (-73.91081358355416, 40.67752114234114), (-73.91174966018426, 40.67757038402874)]"
BROWNSVILLE,"(-73.9079050035785, 40.66589336414003)","(-73.90892035289427, 40.66255460717905)",0.004947883092826779,"[(-73.9079050035785, 40.66589336414003), (-73.90753953063988, 40.664364885935434), (-73.90765133398749, 40.66434798437707), (-73.90794328519834, 40.66430384790184), (-73.90802167111589, 40.66429199768238), (-73.90814859396471, 40.664272809913854), (-73.90829738013466, 40.664250273294684), (-73.9083861042643, 40.66423683419021), (-73.90848716227686, 40.66422152684018), (-73.90857549838522, 40.66420814641839), (-73.90865506378631, 40.66419609433084), (-73.90895102789315, 40.66415126290818), (-73.90903658351479, 40.66413830277244), (-73.90930543485972, 40.66409757722226), (-73.90917163714369, 40.66356147697041), (-73.90914238058295, 40.66344425239265), (-73.90892035289427, 40.66255460717905)]"
BUSHWICK,"(-73.93920628361626, 40.70269338004049)","(-73.94114917214166, 40.70028112749204)",0.004072897240410581,"[(-73.93920628361626, 40.70269338004049), (-73.93903673126174, 40.70264181829304), (-73.93900123947549, 40.70235809564632), (-73.93897487453589, 40.70215798329008), (-73.93891095184793, 40.7017415167008), (-73.93886864126148, 40.701427672478765), (-73.9395100827194, 40.701279781248125), (-73.93982495738383, 40.701208798645844), (-73.94001712055982, 40.70116614766985), (-73.94020563904989, 40.701124305143956), (-73.94042057874316, 40.701076598294954), (-73.94114917214166, 40.70028112749204)]"
CAREY GARDENS,"(-73.98996395141883, 40.57546220844776)","(-73.98156367397989, 40.576981820497444)",0.009151803946509737,"[(-73.98996395141883, 40.57546220844776), (-73.99007402701699, 40.57604149907473), (-73.98901555345836, 40.57615831757322), (-73.9879538520176, 40.576275774319356), (-73.98689291474096, 40.57639209604422), (-73.98583251618797, 40.57650969600389), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND,"(-73.99636029761535, 40.57277403164797)","(-73.98156367397989, 40.576981820497444)",0.0167193759072225,"[(-73.99636029761535, 40.57277403164797), (-73.9959608454797, 40.57278773963882), (-73.99579140428621, 40.57280142239687), (-73.99568523467174, 40.5728099954693), (-73.99490444381993, 40.57287304021294), (-73.99382750900746, 40.573012902055076), (-73.99277259014403, 40.57319823125334), (-73.99174340405398, 40.57343001107267), (-73.99094831543192, 40.57364650523814), (-73.99086419687762, 40.5736694095858), (-73.99071712186533, 40.5737094554514), (-73.98992499125329, 40.57393637131521), (-73.98982121767227, 40.57396609765682), (-73.98968697877935, 40.574004550970876), (-73.9886863897681, 40.57429467743252), (-73.98763474335165, 40.57459428191174), (-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND I (SITE 1B),"(-73.98702986347766, 40.57477027954194)","(-73.98156367397989, 40.576981820497444)",0.007147352168938115,"[(-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND I (SITE 8),"(-74.00045899219964, 40.57372138846097)","(-73.98156367397989, 40.576981820497444)",0.020396129411015197,"[(-74.00045899219964, 40.57372138846097), (-74.00048497234205, 40.57385885422326), (-74.0006164651943, 40.574554602612025), (-74.00067580330948, 40.57486856066887), (-73.99961512279324, 40.57498420714532), (-73.99855647023543, 40.575100564732445), (-73.99749692764964, 40.57521779458624), (-73.99643826762703, 40.575335501199824), (-73.995379757615, 40.57545082048347), (-73.99431553806208, 40.57557399189109), (-73.99326198042282, 40.575695154264935), (-73.9921959710341, 40.57580857079), (-73.99113479997438, 40.575925679360616), (-73.99015545199933, 40.576032608923555), (-73.99007402701699, 40.57604149907473), (-73.98901555345836, 40.57615831757322), (-73.9879538520176, 40.576275774319356), (-73.98689291474096, 40.57639209604422), (-73.98583251618797, 40.57650969600389), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND I (SITES 4 & 5),"(-73.99298145774439, 40.574311013674)","(-73.98156367397989, 40.576981820497444)",0.014235010179231391,"[(-73.99298145774439, 40.574311013674), (-73.99277259014403, 40.57319823125334), (-73.99174340405398, 40.57343001107267), (-73.99094831543192, 40.57364650523814), (-73.99086419687762, 40.5736694095858), (-73.99071712186533, 40.5737094554514), (-73.98992499125329, 40.57393637131521), (-73.98982121767227, 40.57396609765682), (-73.98968697877935, 40.574004550970876), (-73.9886863897681, 40.57429467743252), (-73.98763474335165, 40.57459428191174), (-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
COOPER PARK,"(-73.93846133616383, 40.717642766580404)","(-73.94438746538694, 40.714531601128066)",0.007853102266138582,"[(-73.93846133616383, 40.717642766580404), (-73.93871525487887, 40.71756367068291), (-73.93880544065368, 40.71753557782199), (-73.9394010730553, 40.71735003418356), (-73.93950299395534, 40.71731828464647), (-73.94023120848522, 40.71709143452833), (-73.94183620925426, 40.71692291536274), (-73.94207696915724, 40.716177576650324), (-73.94216246822579, 40.71545133979282), (-73.94216076925149, 40.715063048003245), (-73.94258994533376, 40.71487728613252), (-73.94273549762208, 40.71486784409933), (-73.94270638160356, 40.71468948326522), (-73.94438746538694, 40.714531601128066)]"
CYPRESS HILLS,"(-73.87252831887494, 40.66961782388302)","(-73.87191497686275, 40.67540264798403)",0.007763674589925758,"[(-73.87252831887494, 40.66961782388302), (-73.87236654238883, 40.66954984088985), (-73.8705617178768, 40.66979734789319), (-73.87083179938256, 40.670949429997236), (-73.87092538938347, 40.67132686041264), (-73.8711095221607, 40.672074510659364), (-73.8711214596557, 40.672122980502124), (-73.87116424789936, 40.67229671458812), (-73.87117440924573, 40.672337972365035), (-73.87130258072807, 40.672858385384814), (-73.87159867198847, 40.67413367562961), (-73.87191497686275, 40.67540264798403)]"
EAST NEW YORK CITY LINE,"(-73.8733301230153, 40.66871051629619)","(-73.87191497686275, 40.67540264798403)",0.00970796513373206,"[(-73.8733301230153, 40.66871051629619), (-73.87336453011466, 40.668756222325776), (-73.87342739806326, 40.6688397350616), (-73.87346268930177, 40.66888661456263), (-73.87373735060449, 40.6692514666022), (-73.87296401629912, 40.66953512646912), (-73.87252831887494, 40.66961782388302), (-73.87236654238883, 40.66954984088985), (-73.8705617178768, 40.66979734789319), (-73.87083179938256, 40.670949429997236), (-73.87092538938347, 40.67132686041264), (-73.8711095221607, 40.672074510659364), (-73.8711214596557, 40.672122980502124), (-73.87116424789936, 40.67229671458812), (-73.87117440924573, 40.672337972365035), (-73.87130258072807, 40.672858385384814), (-73.87159867198847, 40.67413367562961), (-73.87191497686275, 40.67540264798403)]"
FARRAGUT,"(-73.98230239437191, 40.699808187845576)","(-73.98674782248713, 40.70152649984747)",0.005262170408168985,"[(-73.98230239437191, 40.699808187845576), (-73.98240409023678, 40.69981111522879), (-73.98255293210472, 40.69981539927797), (-73.9826436890017, 40.69981801134729), (-73.98273644237719, 40.69982068110635), (-73.98282408043444, 40.69982320344105), (-73.98289842031586, 40.69983292388753), (-73.98294189773156, 40.69983718519643), (-73.98300984530572, 40.6998376371835), (-73.98355227896155, 40.69984273609866), (-73.98367606072837, 40.699843584321), (-73.98386662248514, 40.699845234529214), (-73.98404712858277, 40.699846267326095), (-73.98422754555328, 40.69985070590386), (-73.98440776275939, 40.699858547312786), (-73.98458766914035, 40.699869786958395), (-73.9847513613165, 40.700014204347504), (-73.98489917784771, 40.70016018931701), (-73.98505652797654, 40.700300577744436), (-73.98522285008738, 40.70043485236233), (-73.98529224418165, 40.700485574759995), (-73.98544715580444, 40.70059289011495), (-73.98557111382078, 40.70065755414441), (-73.9856447162353, 40.700695182592284), (-73.98576265256773, 40.70075817552851), (-73.98588383579839, 40.700817491830776), (-73.98600806816108, 40.7008730346932), (-73.98613514691179, 40.70092471346806), (-73.98626486460897, 40.700972443768855), (-73.98639700960162, 40.701016147744205), (-73.98653136622777, 40.701055754067404), (-73.98666771521475, 40.70109119809904), (-73.98678331779197, 40.70111969776003), (-73.98674782248713, 40.70152649984747)]"
